X,Y,Afstand (kilometers),Elevation 3D RD (referentie) (meters)
97485.78136739532,445201.3008928456,0.05039999999999989,-4.268635287862928
97486.0642101078,445201.01805013313,0.05079999999999989,-4.286562910168726
97486.34705282027,445200.73520742066,0.051199999999999884,-4.304171589747134
97486.62989553275,445200.4523647082,0.05159999999999988,-4.321392447569692
97487.1955809577,445199.8866792832,0.05239999999999988,-4.364786064767106
97487.47842367017,445199.60383657075,0.052799999999999875,-4.390975054638894
97487.76126638264,445199.3209938583,0.05319999999999988,-4.424781939735294
97488.04410909512,445199.0381511458,0.05359999999999988,-4.447338984233318
97488.60979452007,445198.47246572084,0.05439999999999987,-4.481700920076484
97488.89263723255,445198.18962300837,0.05479999999999987,-4.494833801912843
97489.17547994501,445197.9067802959,0.05519999999999987,-4.507083570717188
97489.45832265749,445197.6239375834,0.055599999999999865,-4.528872053333738
97490.02400808244,445197.05825215846,0.05639999999999987,-4.569310788973399
97490.30685079492,445196.775409446,0.056799999999999864,-4.584810908572744
97490.5896935074,445196.4925667335,0.05719999999999986,-4.602365300173513
97490.87253621987,445196.209724021,0.05759999999999986,-4.632855628732228
97491.43822164481,445195.64403859613,0.058399999999999855,-4.691699028730869
97491.72106435729,445195.36119588366,0.05879999999999986,-4.729254796955182
97492.00390706977,445195.0783531712,0.05919999999999986,-4.777498280945742
97492.28674978224,445194.7955104587,0.059599999999999854,-4.826177065028143
97492.85243520718,445194.22982503375,0.06039999999999985,-4.927953007025877
97493.13527791966,445193.9469823213,0.06079999999999985,-4.970892318836763
97493.41812063214,445193.6641396088,0.061199999999999845,-5.01403618844288
97493.70096334461,445193.3812968963,0.06159999999999985,-5.063374241127813
97494.26664876957,445192.81561147136,0.062399999999999844,-5.168271942853338
97494.54949148204,445192.5327687589,0.06279999999999984,-5.206987159005709
97494.8323341945,445192.2499260464,0.06319999999999984,-5.242351351648144
97495.11517690698,445191.96708333393,0.06359999999999984,-5.282146452798126
97495.68086233194,445191.401397909,0.06439999999999983,-5.3560092910146535
97495.96370504441,445191.1185551965,0.06479999999999984,-5.384024190702446
97496.24654775689,445190.835712484,0.06519999999999984,-5.4110394528595664
97496.52939046935,445190.55286977155,0.06559999999999985,-5.4371710504162865
97497.0950758943,445189.9871843466,0.06639999999999986,-5.487606558954618
97497.37791860678,445189.7043416341,0.06679999999999987,-5.507147392064217
97497.66076131926,445189.42149892164,0.06719999999999987,-5.524449994216445
97497.94360403174,445189.13865620916,0.06759999999999988,-5.541703041270779
97498.50928945668,445188.5729707842,0.06839999999999989,-5.581966333165202
97498.79213216915,445188.29012807173,0.0687999999999999,-5.600318762792897
97499.07497488163,445188.0072853593,0.0691999999999999,-5.6173181471589055
97499.35781759411,445187.72444264684,0.06959999999999991,-5.642011742892516
97499.92350301906,445187.1587572219,0.07039999999999992,-5.715201051207945
97500.20634573152,445186.8759145094,0.07079999999999993,-5.777160980345261
97500.489188444,445186.59307179693,0.07119999999999993,-5.878979252676998
97500.77203115648,445186.31022908445,0.07159999999999994,-6.041137116350762
97501.33771658143,445185.7445436595,0.07239999999999995,-6.352445829788322
97501.62055929391,445185.461700947,0.07279999999999996,-6.351249823232019
97501.90340200637,445185.17885823455,0.07319999999999996,-6.358190111878138
97502.18624471885,445184.89601552207,0.07359999999999997,-6.449053432414114
97502.7519301438,445184.3303300971,0.07439999999999998,-6.2587030815538265
97503.03477285628,445184.04748738464,0.07479999999999998,-6.05669884707927
97503.31761556875,445183.76464467216,0.07519999999999999,-5.870946019411308
97503.60045828123,445183.4818019597,0.0756,-5.689340580210654
97503.99691393581,445183.0853463051,0.07616067296360104,-5.488324041243466
